,mean_expression,variance,cv,samples_expressed,max_expression,detection_rate
ENSG00000237749,4.315789473684211,6.56140350877193,0.5935237756752281,1,11.0,0.76
ENSG00000237757,6.086956521739131,22.719367588932805,0.7830651905204925,3,23.0,0.92
ENSG00000237774,58.5,1448.4347826086957,0.6505693617476448,22,163.0,0.96
ENSG00000237784,1.5,0.5714285714285714,0.5039526273192855,0,3.0,0.32
ENSG00000237801,1.0,0.0,0.0,0,1.0,0.2
ENSG00000237804,10.695652173913043,63.03952569169962,0.74233373438075,8,32.0,0.92
ENSG00000237819,3.5,3.0,0.49487165789147447,0,5.0,0.16
ENSG00000237821,2.888888888888889,4.810457516339869,0.7592107550611699,0,7.0,0.72
ENSG00000237868,1.25,0.21428571428571427,0.37032803694639627,0,2.0,0.32
ENSG00000237882,1.5384615384615385,0.7692307692307693,0.5700877088439988,0,4.0,0.52
ENSG00000237899,5.0,2.0,0.2828427119089336,0,6.0,0.08
ENSG00000237930,6.2631578947368425,13.315789473684212,0.5826263187895194,4,14.0,0.76
ENSG00000237931,5.0,8.4,0.5796550686882674,0,9.0,0.24
ENSG00000237939,1.0,,,0,1.0,0.04
ENSG00000237943,6.333333333333333,9.25,0.48021809373898877,2,12.0,0.36
ENSG00000237972,2.375,3.982142857142857,0.8402234577974947,0,6.0,0.32
ENSG00000237976,13.285714285714286,130.989010989011,0.8614548544604534,9,45.0,0.56
ENSG00000237978,7.4,2.8,0.22612433119012268,0,10.0,0.2
ENSG00000237989,9.833333333333334,71.24242424242425,0.8583582445835144,3,30.0,0.48
ENSG00000237991,3.4761904761904763,4.961904761904762,0.6407972591275476,0,8.0,0.84
ENSG00000238000,6.7368421052631575,29.87134502923977,0.8112804671073557,5,18.0,0.76
ENSG00000238003,5.6,21.83157894736842,0.8343620559914434,2,18.0,0.8
ENSG00000238005,4.0,4.0,0.49999999875,0,6.0,0.28
ENSG00000238029,2.888888888888889,3.111111111111111,0.6105579927475894,0,6.0,0.36
ENSG00000238057,9.88888888888889,53.16339869281046,0.7373248497267287,7,26.0,0.72
ENSG00000238058,4.333333333333333,15.066666666666668,0.8957493288873255,0,10.0,0.24
ENSG00000238082,6.066666666666666,18.923809523809524,0.7170577764071622,3,15.0,0.6
ENSG00000238084,4.916666666666667,12.446969696969695,0.7175646732862251,1,12.0,0.48
ENSG00000238137,3.4615384615384617,11.602564102564102,0.984028836776113,1,12.0,0.52
ENSG00000238165,2.6666666666666665,4.333333333333334,0.7806247468724572,0,5.0,0.12
ENSG00000238172,2.8666666666666667,4.409523809523808,0.7325185852078577,0,8.0,0.6
ENSG00000238221,3.0,11.5,1.130388326752917,0,9.0,0.2
ENSG00000238246,15.25,225.03947368421052,0.983692834225033,8,63.0,0.8
ENSG00000238286,5.0,8.0,0.5656854238178672,0,7.0,0.08
ENSG00000238829,5.25,13.583333333333334,0.7020109315992167,0,10.0,0.16
ENSG00000239096,4.0,,,0,4.0,0.04
ENSG00000239198,1.5714285714285714,0.7252747252747253,0.5419467593483825,0,3.0,0.56
ENSG00000239203,5.6,24.799999999999997,0.8892785411254835,1,14.0,0.2
ENSG00000239246,7.833333333333333,13.362318840579713,0.46665326315087396,5,16.0,0.96
ENSG00000239269,1.3529411764705883,0.4926470588235295,0.518786933721215,0,3.0,0.68
ENSG00000239282,10.666666666666666,37.38095238095239,0.5731871650427068,7,21.0,0.6
